Step 1,Step 2 CK,AOA,Cumulative Quartile,# Ho0red Clerkships,Ho0rs-A This Specialty,GHHS,Other Degrees,Research Year,# Research Experiences,"# Abstracts, Pres, Posters",# Peer-Rev Publications,# Volunteer Experiences,# Leadership Positions,Required to Remediate,Pass Attempt - Step 1,Pass Attempt - Step 2 CK,Pass Attempt - Step 2 CS,# Programs Applied,# Interviews Attended,Home State,Release - Step 2 CK,Release - Step 2 CS,Majority of Interview Offers,Majority of Interviews Attended,Matched
190-194,205-209,0,N/A,1,1,0,MSc,1,1,4,3,1,1,1,1,,,1,1,FL,,Late January,N/A,October,1
190-194,205-209,0,2,1,1,1,MDiv,0,4,4,0,10,3,0,2,2,1,9,2,GA,Late January,Mid September,Promptly after Oct 1 (MSPE release),October,1
190-194,210-214,0,N/A,0,,0,,,6,9,,,,0,1,,,5,5,TX,Late January,Late January,Early October,N/A,1
190-194,215-219,0,4,0,,1,,,0,0,,,,1,1,,,10,8,TX,Late September,Late January,Early October,N/A,1
190-194,215-219,0,4,0,0,0,,0,2,2,0,8,8,0,2,2,2,60,5,,Mid January,Late January,Late October,December,1
190-194,215-219,0,3,5,1,0,,0,1,1,0,2,0,0,1,2,1,83,2,,Late October,Late September,Promptly after Oct 1 (MSPE release),December,1
190-194,220-224,0,4,1,0,0,,0,0,0,0,4,0,1,1,1,1,27,5,,Mid September,Early December,Late September (before MSPE release),October,0
190-194,225-229,0,4,0,0,0,,0,1,4,1,3,0,0,1,1,1,50,3,NY,Late September,Late January,Early 0vember,January,0
190-194,225-229,0,4,0,0,0,,0,3,4,2,4,4,0,2,1,1,41,5,,Mid September,Mid September,Late October,October,1
190-194,225-229,0,4,0,0,0,,1,6,10,1,8,4,0,1,2,1,49,6,TX,Mid September,Mid September,Mid October,0vember,0
190-194,225-229,0,4,0,0,0,,1,11,11,6,8,3,0,2,1,1,67,7,TX,Mid September,Early 0vember,Late September (before MSPE release),January,1
190-194,235-239,0,N/A,0,1,0,,1,1,2,1,11,6,1,1,2,1,41,8,,Mid September,Mid September,Early October,December,1
190-194,245-249,0,4,0,0,0,Other,0,3,3,1,3,4,0,1,1,1,6,5,KY,Late October,Late January,Late 0vember,December,0
195-199,205-209,0,N/A,0,0,0,,0,4,5,1,1,0,0,1,1,1,35,6,,Early October,Early October,N/A,December,1
195-199,210-214,0,3,0,0,1,MBA,0,4,3,3,6,3,0,2,2,1,30,6,KY,Late September,After Rank List Submission,Mid October,0vember,1
195-199,210-214,0 School Chapter,N/A,1,0,0,MBA,0,4,2,1,6,4,0,2,1,1,21,7,,Mid September,Mid September,Mid October,0vember,1
195-199,210-214,0,4,2,0,0,,0,4,1,0,11,11,0,2,1,1,44,6,,Late September,Mid September,Mid 0vember,0vember,1
195-199,215-219,0,4,1,,0,,,6,7,,,,0,1,,,20,12,TX,,Late January,Promptly after Oct 1 (MSPE release),N/A,1
195-199,215-219,0,3,0,0,0,,0,5,5,0,11,8,1,1,1,2,60,9,PA,Late 0vember,Mid September,Late September (before MSPE release),0vember,1
195-199,215-219,0,4,0,0,0,,0,2,0,0,11,3,0,1,,2,71,4,TX,After Rank List Submission,After Rank List Submission,Early October,December,0
195-199,215-219,0,3,1,0,0,,0,3,11,3,8,6,0,1,1,1,60,7,,Mid September,Mid September,Mid October,0vember,1
195-199,215-219,0,N/A,2,0,0,,0,1,2,0,7,4,0,1,1,1,21,5,MN,Early October,Late January,Late September (before MSPE release),0vember,0
195-199,215-219,0,4,2,0,1,,0,2,0,0,4,5,1,1,1,1,84,14,,Mid September,Mid January,Mid October,0vember,1
195-199,215-219,0,N/A,0,1,0,,0,2,3,2,11,5,1,1,1,1,21,8,WI,Mid January,Late January,Late September (before MSPE release),0vember,1
195-199,215-219,0,N/A,1,1,0,,0,7,1,3,11,3,0,1,1,,38,12,MA,Mid September,Mid September,Late October,0vember,1
195-199,220-224,0,4,0,0,1,MPH,0,7,4,3,11,6,0,1,1,1,59,6,FL,Mid September,After Rank List Submission,Early October,0vember,0
195-199,220-224,0,4,2,1,1,MBA,0,0,3,0,5,11,0,1,1,1,1,1,NC,Late September,Late January,Promptly after Oct 1 (MSPE release),October,1
195-199,225-229,0,3,0,0,0,,0,0,1,0,11,3,0,1,1,1,34,3,,Mid September,Mid October,Late September (before MSPE release),0vember,0
195-199,225-229,0,N/A,0,1,0,,0,3,4,2,11,0,0,1,1,2,33,7,,Mid September,,Early October,December,0
195-199,225-229,0,2,4,1,0,,1,4,8,7,4,2,0,1,1,1,36,12,IL,Mid October,Late October,Early October,0vember,1
195-199,225-229,0,4,4,1,1,,0,4,8,2,9,2,0,2,1,,83,8,,Mid September,Late January,Mid October,0vember,1
195-199,230-234,0,N/A,2,1,0,,0,2,3,0,7,3,0,1,1,1,37,16,PA,Mid September,Early 0vember,Mid October,0vember,1
195-199,230-234,0,N/A,3,1,1,,1,4,2,1,3,2,0,1,1,1,28,13,NY,Mid September,Mid September,Promptly after Oct 1 (MSPE release),0vember,1
195-199,230-234,0 School Chapter,N/A,8,1,0 School Chapter,,1,4,5,3,6,6,0,1,1,1,32,13,CT,Mid September,Mid September,Late October,0vember,1
195-199,235-239,0,4,0,0,0,MSc,0,2,0,1,11,0,0,1,1,1,28,5,TX,Early 0vember,Early 0vember,Late October,December,1
195-199,235-239,0,N/A,1,1,0,,0,5,5,0,10,4,0,1,1,1,41,12,TN,Mid September,Mid September,Mid October,January,1
195-199,250-254,0,N/A,0,0,0,MPH,1,4,4,1,6,5,0,1,1,1,83,13,MO,Mid September,Mid September,Late September (before MSPE release),0vember,1
195-199,250-254,0,N/A,1,1,0,MSc,0,2,2,0,4,2,1,1,,1,39,6,,Early 0vember,Late September,Promptly after Oct 1 (MSPE release),0vember,1
200-204,205-209,0,1,1,1,0,MSc,0,3,5,5,5,5,0,1,1,1,26,4,NV,Mid September,Late January,Mid 0vember,December,1
200-204,210-214,0,3,0,0,0,MPH,0,5,0,3,5,2,0,1,1,1,193,5,LA,Mid October,Early December,Mid October,0vember,1
200-204,215-219,0,4,0,0,0,,0,0,0,0,5,5,0,1,1,2,20,5,LA,Late January,Late January,Promptly after Oct 1 (MSPE release),December,0
200-204,215-219,0,3,1,1,0,Other,0,2,2,1,5,3,1,1,1,1,4,4,NY,Mid October,Early October,Late October,December,0
200-204,215-219,0,4,1,1,0,,0,1,0,0,5,1,0,1,1,,32,8,,Late September,Late December,Mid October,January,0
200-204,215-219,0,N/A,1,1,0,,0,2,5,2,4,1,0,1,1,1,44,11,IL,Mid September,Early October,Late September (before MSPE release),January,1
200-204,215-219,0,3,2,1,0,,,7,11,4,4,8,1,1,1,1,7,9,DC,Mid September,Late December,Mid October,0vember,1
200-204,215-219,0,4,2,1,0,,0,2,2,0,5,2,1,3,1,1,41,8,NC,Mid September,Mid October,Early October,December,1
200-204,220-224,0,4,0,,0,,,2,0,,,,0,1,,,43,8,TX,Early October,Early October,Mid October,N/A,0
200-204,220-224,0,4,2,,0,,,2,3,,,,0,1,,,59,5,TX,Late January,Mid September,Promptly after Oct 1 (MSPE release),N/A,0
200-204,220-224,0,N/A,0,N/A,0,,1,8,5,7,4,2,1,1,1,1,20,3,NY,Mid September,Mid September,Early 0vember,January,0
200-204,220-224,0,3,0,N/A,1,,0,11,11,0,11,11,0,1,1,1,47,11,PA,Mid September,Mid September,Mid October,December,1
200-204,220-224,0,4,0,0,0,,0,3,3,2,10,0,1,1,1,2,62,4,LA,Mid September,After Rank List Submission,Late October,0vember,0
200-204,220-224,0,N/A,0,0,1,,0,1,1,0,8,2,1,1,1,2,25,11,DC,Mid September,After Rank List Submission,Early October,December,0
200-204,220-224,0,N/A,0,0,1,,0,5,6,2,10,0,0,1,1,1,34,8,,Mid September,Early January,Early October,October,1
200-204,220-224,0 School Chapter,N/A,0,0,0,,0,3,0,0,11,8,0,2,3,1,66,13,MI,After Rank List Submission,Mid September,Late October,0vember,1
200-204,220-224,0,4,2,1,0,MPH,0,6,2,4,5,3,1,1,1,1,30,10,TX,Mid September,Mid September,Promptly after Oct 1 (MSPE release),October,0
200-204,220-224,0,4,2,1,0,Other,0,2,2,0,5,5,1,3,1,1,4,4,SC,Early October,Mid September,Early October,January,1
200-204,225-229,0,N/A,0,0,0,,0,3,0,0,4,4,0,1,1,1,65,11,VA,Mid September,Mid September,Mid 0vember,December,1
200-204,225-229,0,N/A,0,0,0,,1,1,0,0,4,2,1,1,2,1,39,11,NY,Mid September,After Rank List Submission,Late October,0vember,1
200-204,225-229,0,2,2,0,0,,0,3,3,1,11,2,0,1,1,2,11,12,WA,Mid September,Mid December,Mid October,December,1
200-204,225-229,0,N/A,1,1,0,,0,1,3,2,11,6,0,1,1,1,39,13,NE,Mid September,Mid October,Early October,December,1
200-204,230-234,0,3,2,,0,,,3,2,,,,0,1,,,1,1,TX,Early October,Early October,Early October,N/A,0
200-204,230-234,0,N/A,2,1,1,,0,5,8,0,,,0,1,1,,16,7,MN,Mid September,,Late September (before MSPE release),0vember,1
200-204,230-234,0,2,3,1,0,,0,7,11,9,11,11,0,1,1,2,5,3,TN,Mid September,,Mid October,0vember,0
200-204,235-239,0,4,0,N/A,0,MBA,0,4,2,2,6,0,0,1,1,1,48,13,KY,Mid September,Mid September,Late September (before MSPE release),October,1
200-204,235-239,0,N/A,0,0,0,,0,2,3,0,1,2,1,1,1,1,46,6,TX,Late October,Late December,Mid 0vember,January,0
200-204,235-239,0,3,1,0,0,,0,3,2,1,4,2,0,1,1,1,9,11,PA,Early October,Mid October,Mid 0vember,December,0
200-204,235-239,0,3,1,0,0,,0,3,3,1,5,2,0,1,1,1,30,11,PA,Mid October,Late October,Mid 0vember,December,1
200-204,235-239,0,3,1,0,0,,0,7,11,2,5,4,0,1,1,1,21,12,TX,Mid September,Mid December,Late September (before MSPE release),0vember,1
200-204,235-239,0,N/A,1,0,1,MDiv,0,2,0,0,11,5,0,1,2,1,26,8,MI,Late December,Mid September,Late 0vember,December,1
200-204,235-239,0,N/A,0,1,0,,0,3,10,1,11,10,0,1,1,1,48,14,WI,Mid September,Mid September,Late September (before MSPE release),December,1
200-204,235-239,0,2,3,1,1,,0,2,0,0,11,2,0,1,1,2,52,0,MO,Mid September,Late January,Early October,0vember,1
200-204,240-244,0,N/A,2,0,0,,0,7,7,5,6,3,1,2,,1,2,4,,Late September,Mid December,Promptly after Oct 1 (MSPE release),0vember,1
200-204,240-244,0,N/A,2,1,0,,0,2,3,0,11,,1,1,1,1,36,6,WI,Mid September,Late December,Promptly after Oct 1 (MSPE release),0vember,1
200-204,N/A,0,4,3,0,0,,0,0,0,0,3,2,1,1,,2,29,5,TX,,,Late October,0vember,0
205-209,205-209,0,4,0,0,0,,0,1,2,2,3,1,0,1,1,1,58,7,LA,Early October,Mid December,Late 0vember,December,1
205-209,210-214,0,3,2,N/A,0,,0,3,3,2,,,1,1,1,2,64,12,NY,Mid September,Late January,Early 0vember,December,1
205-209,210-214,0,4,0,0,0,,0,3,2,2,9,7,0,1,1,2,56,13,WA,Mid September,Early 0vember,Late October,0vember,0
205-209,210-214,0,2,1,1,1,MSc,0,2,4,2,11,3,0,1,1,1,45,14,TX,Mid September,Mid September,Early October,0vember,1
205-209,210-214,0,3,3,1,0,,1,9,2,0,11,3,0,1,1,1,60,6,LA,Early 0vember,Late January,Mid October,December,0
205-209,210-214,0,4,3,1,0,,0,6,0,4,11,3,0,1,1,,40,13,,Mid 0vember,Mid 0vember,Early October,0vember,1
205-209,215-219,0,N/A,0,0,0,MPH,0,3,8,4,9,5,1,2,1,3,64,4,TX,Mid January,,Late October,0vember,0
205-209,215-219,0,N/A,3,0,0,,0,1,1,0,7,3,0,1,1,2,71,4,WA,Mid September,Mid December,Early October,0vember,0
205-209,215-219,0,3,3,1,0,,0,3,3,2,2,1,1,2,1,1,57,5,TN,Late October,Late January,Late September (before MSPE release),0vember,1
205-209,220-224,0,3,0,0,0,,0,3,1,0,5,3,0,2,1,1,242,1,TX,Late 0vember,Mid January,Late September (before MSPE release),October,0
205-209,220-224,0,4,0,0,0,,,4,2,0,9,2,1,2,1,1,56,9,,Mid September,Early 0vember,Early October,October,1
205-209,220-224,0,4,1,0,0,,0,0,0,0,8,5,0,1,1,1,70,11,,Mid September,Late January,Promptly after Oct 1 (MSPE release),October,1
205-209,220-224,0,4,2,0,0,Other,0,2,0,1,5,4,0,1,1,2,21,3,TN,Mid October,Late January,Late October,0vember,1
205-209,220-224,0,N/A,2,0,0,,0,3,11,11,5,5,0,1,1,1,29,0,PA,Mid September,Mid January,Early October,0vember,1
205-209,225-229,0,4,0,0,0,,0,7,2,11,8,4,1,1,1,1,10,12,TX,Mid September,Mid September,Late September (before MSPE release),October,1
205-209,225-229,0,4,0,0,1,,0,2,3,2,3,8,1,1,1,1,77,13,NY,Mid September,Late December,Early October,0vember,1
205-209,225-229,0,4,0,0,1,MSc,0,6,6,1,6,6,0,1,1,1,36,16,VA,Mid September,Mid September,Mid October,0vember,1
205-209,225-229,0,3,1,0,0,,0,1,1,0,5,1,1,1,1,1,102,4,,Mid September,Mid September,Early 0vember,December,1
205-209,225-229,0,4,2,0,0,,0,0,0,0,6,7,0,1,1,1,34,4,TX,Late October,Late December,Promptly after Oct 1 (MSPE release),0vember,1
205-209,225-229,0,N/A,0,1,0,,0,2,0,0,4,2,0,1,1,1,46,7,,Mid September,Mid September,Early October,0vember,1
205-209,225-229,0,3,2,1,0,,0,0,0,0,3,3,0,1,1,1,35,5,NC,Mid October,Late January,Late October,0vember,1
205-209,225-229,0,3,2,1,1,PhD,0,1,11,3,4,3,0,1,1,1,16,33,,Mid September,Early January,Early October,October,1
205-209,225-229,0,4,3,1,0,MPH,1,2,2,0,7,2,0,1,1,1,42,13,,Mid September,Mid September,Mid October,December,1
205-209,230-234,0,N/A,1,,0,,,2,3,,,,0,1,,,24,8,TX,Mid September,Late January,Late September (before MSPE release),N/A,1
205-209,230-234,0,3,0,0,0,,0,2,4,2,4,1,0,1,1,1,31,13,FL,Late October,Mid September,Early October,January,1
205-209,230-234,0,4,0,0,0,MPH,0,4,11,5,11,11,1,1,1,1,19,6,MI,Mid October,Mid September,Late October,0vember,1
205-209,230-234,0,N/A,1,0,0,,0,1,2,0,4,0,0,1,1,1,29,11,MI,Mid September,Mid September,Late September (before MSPE release),0vember,1
205-209,230-234,0,3,2,0,0,,0,1,1,0,10,3,0,1,1,1,4,4,NV,Mid September,Early October,Promptly after Oct 1 (MSPE release),December,1
205-209,230-234,0,4,4,0,1,,0,6,3,2,5,8,1,1,1,1,32,14,PA,Early October,Early December,Mid October,0vember,1
205-209,230-234,0,3,1,1,0,,0,2,2,0,3,2,0,1,1,1,40,9,KY,Mid September,Mid October,Late September (before MSPE release),October,1
205-209,230-234,0,3,1,1,0,Other,0,6,7,0,,11,0,1,1,1,58,17,,Mid September,Late 0vember,Early October,0vember,1
205-209,230-234,0,N/A,1,1,0,,0,2,2,1,4,2,0,1,1,1,35,13,,Mid September,Mid January,Mid October,0vember,1
205-209,230-234,0,N/A,1,1,1,,0,4,1,1,2,10,0,1,1,1,25,13,,Mid September,Late January,Late October,January,1
205-209,230-234,0 School Chapter,N/A,1,1,0,,0,2,2,0,8,5,0,1,1,1,48,16,MI,Mid September,Mid September,Mid October,0vember,1
205-209,230-234,0,N/A,2,1,0,MPH,0,2,2,,3,3,0,1,1,2,35,8,NC,Mid September,Mid September,Late October,0vember,0
205-209,230-234,0,N/A,2,1,1,,0,4,2,1,9,3,0,1,1,1,36,20,,Mid September,Early January,Promptly after Oct 1 (MSPE release),0vember,1
205-209,230-234,0,N/A,3,1,0,,0,3,11,9,8,3,0,,1,1,19,13,DC,Mid September,Late January,Early 0vember,December,1
205-209,235-239,0,N/A,1,,0,,,1,6,,,,0,1,,,16,6,TX,Mid September,Mid September,Late September (before MSPE release),N/A,1
205-209,235-239,0,4,1,0,1,,,3,0,0,8,4,1,2,1,1,89,7,,Mid September,Late January,Early 0vember,December,0
205-209,235-239,0,N/A,2,0,0,,0,1,0,0,5,2,1,1,1,1,48,7,OH,Late September,Mid December,Mid October,December,1
205-209,235-239,0,3,1,1,0,,0,4,4,3,5,0,0,1,1,1,81,14,TX,Mid September,Early January,Late September (before MSPE release),0vember,1
205-209,235-239,0,N/A,2,1,1,,0,5,2,1,6,2,0,1,1,1,24,10,MN,Mid September,Late January,Early October,0vember,1
205-209,235-239,0,N/A,3,1,1,,0,1,5,0,11,4,0,1,1,1,24,12,WA,Early October,Mid October,Late October,0vember,1
205-209,235-239,0,3,4,1,0,,0,3,3,1,8,2,1,1,1,1,45,10,FL,Mid September,Mid September,Early October,December,1
205-209,240-244,0,N/A,2,0,0,,0,1,1,2,7,4,0,1,1,1,58,12,TX,Early October,Late December,Mid October,December,1
205-209,240-244,0,N/A,1,1,0,,0,2,1,0,11,0,1,2,1,1,49,8,,Mid September,Mid January,Promptly after Oct 1 (MSPE release),January,1
205-209,240-244,0,N/A,2,1,0,,0,4,4,0,5,0,1,2,1,1,54,4,,Mid September,Mid September,Late September (before MSPE release),0vember,0
205-209,245-249,0,4,1,0,0,MSc,0,3,11,0,,11,0,1,1,1,16,11,,Mid September,Mid September,Mid October,0vember,1
205-209,250-254,0,2,3,,1,,,4,11,,,,0,,,,34,6,TX,Late September,Late 0vember,Promptly after Oct 1 (MSPE release),N/A,1
205-209,250-254,0,3,0,0,0,MPH,0,4,4,3,5,5,0,1,1,1,50,22,NY,Mid September,Mid December,Late September (before MSPE release),December,1
205-209,250-254,0,3,2,0,0,MEd,0,1,2,0,2,6,0,1,1,1,31,15,MA,Mid September,Mid September,Promptly after Oct 1 (MSPE release),0vember,1
210-214,210-214,0,2,0,0,0,,0,3,3,0,7,2,0,1,,1,14,12,WA,Mid September,Mid September,Mid 0vember,December,1
210-214,210-214,0,4,0,0,0,,0,0,0,0,3,1,1,1,1,1,36,6,TX,Mid September,Mid December,Promptly after Oct 1 (MSPE release),December,1
210-214,210-214,0,4,0,0,0,,0,2,3,0,8,6,0,2,1,1,25,7,,Late September,Late 0vember,Late October,December,1
210-214,210-214,0,N/A,0,0,0,,0,5,2,0,11,3,0,1,1,1,247,8,TX,Late 0vember,Early December,Mid October,December,0
210-214,210-214,0,4,0,0,1,Other,0,0,0,0,4,0,0,1,1,1,45,7,LA,Late 0vember,Mid October,Early October,December,1
210-214,210-214,0,3,1,1,0,Other,0,7,2,2,7,1,0,1,1,1,29,11,NY,Mid October,Mid December,Early October,0vember,1
210-214,215-219,0,3,0,0,0,,1,4,3,2,8,8,1,1,1,1,15,3,,Mid October,Mid January,Early October,N/A,0
210-214,215-219,0,N/A,0,0,0,,0,0,0,0,2,6,0,2,1,2,1,4,AZ,Mid September,After Rank List Submission,Early October,0vember,1
210-214,215-219,0,3,2,0,0,,0,6,3,1,7,5,0,1,1,1,79,13,MI,Mid September,Mid September,Mid October,0vember,1
210-214,215-219,0,3,1,1,0,,0,3,2,0,6,4,0,1,1,1,11,12,NJ,Mid September,Mid September,Mid October,0vember,1
210-214,215-219,0,2,4,1,0,,0,8,3,2,6,6,0,1,1,1,10,10,OH,Mid September,Late January,Promptly after Oct 1 (MSPE release),0vember,1
210-214,220-224,0,4,0,,0,,,1,0,,,,0,1,,,60,12,TX,Mid September,Mid October,Late September (before MSPE release),N/A,1
210-214,220-224,0,N/A,0,,1,,,1,4,,,,0,1,,,8,7,TX,Early October,Late January,Early October,N/A,1
210-214,220-224,0,3,2,,0,,,1,2,,,,0,1,,,12,0,TX,Late September,Late January,N/A,N/A,1
210-214,220-224,0,3,0,0,0,,0,1,2,2,6,6,0,1,1,1,28,9,,Early 0vember,Late January,Early October,0vember,0
210-214,220-224,0,4,0,0,0,,0,2,2,0,4,0,1,2,1,2,41,1,WV,Late January,Late January,Early October,October,1
210-214,220-224,0,N/A,0,0,0,,0,0,0,0,7,5,0,1,2,1,68,9,NY,Mid September,Mid October,Late 0vember,January,1
210-214,220-224,0,N/A,0,0,0,Other,0,2,0,0,2,0,1,1,2,1,41,8,,Late September,Mid September,Late 0vember,December,1
210-214,220-224,0 School Chapter,N/A,8,1,0 School Chapter,,1,4,4,1,8,6,0,1,1,1,12,9,CT,Mid September,Mid December,Early October,0vember,1
210-214,225-229,0,N/A,2,,0,,,1,2,,,,0,1,,,41,5,TX,Early October,Early October,Mid October,N/A,0
210-214,225-229,0,2,0,0,0,,0,0,0,0,7,3,0,1,1,1,46,12,TX,Mid September,Mid September,Mid October,December,1
210-214,225-229,0,3,0,0,0,,0,2,1,0,4,3,0,1,1,1,107,9,IL,Late January,Mid September,Mid October,0vember,1
210-214,225-229,0,4,0,0,0,,0,1,2,0,7,7,0,1,1,1,19,7,LA,Early October,Late December,Late October,0vember,1
210-214,225-229,0,N/A,0,0,1,,0,2,4,0,11,0,0,1,1,1,128,18,TX,Mid 0vember,Late January,Late October,0vember,1
210-214,225-229,0,4,1,0,0,,0,1,0,0,5,3,0,1,1,1,25,7,MN,Mid September,Late January,Promptly after Oct 1 (MSPE release),0vember,1
210-214,225-229,0,4,3,0,0,,0,4,3,1,11,3,0,1,1,1,32,11,PA,Mid September,Mid September,Mid October,December,1
210-214,225-229,0,4,4,0,0,,0,0,0,0,2,0,1,1,1,1,27,2,OH,Late October,Late January,Early 0vember,December,1
210-214,225-229,0,2,2,1,0,,0,3,3,0,8,3,0,1,1,1,12,8,,Early October,Late January,Late October,0vember,1
210-214,225-229,0,4,2,1,0,,0,2,1,0,4,2,0,1,1,1,17,11,MA,Mid September,Mid September,Late October,December,1
210-214,225-229,0,4,2,1,0,Other,0,1,3,3,3,2,0,1,1,1,19,10,NY,Mid September,Mid December,Mid October,October,1
210-214,230-234,0,4,0,0,0,,0,3,9,2,9,3,0,1,1,1,95,11,TX,Mid January,Late December,Late September (before MSPE release),0vember,0
210-214,230-234,0,4,1,1,0,,0,0,0,0,7,2,0,1,1,1,55,13,MO,Mid September,Early October,Early October,December,1
210-214,230-234,0,N/A,1,1,1,,0,4,2,0,11,9,0,1,1,1,37,9,,Mid September,Late January,Early October,0vember,1
210-214,230-234,0,N/A,2,1,0,,0,6,3,1,11,3,0,1,1,1,73,18,KY,Mid September,Mid September,Mid October,0vember,1
210-214,230-234,0 School Chapter,2,2,1,0,,0,4,0,1,2,0,0,1,1,,60,7,CT,,Mid September,Late October,December,1
210-214,230-234,0,3,3,1,1,,0,1,1,0,8,2,0,1,1,1,24,9,,Mid September,Late 0vember,Early October,December,1
210-214,235-239,0,4,3,0,0,,1,1,0,3,4,0,0,1,1,1,28,7,,Late October,Early January,Late October,January,1
210-214,235-239,0,4,0,1,0,MSc,0,7,0,0,4,4,1,1,1,2,94,11,VA,Mid September,Early December,Late 0vember,January,1
210-214,235-239,0,3,1,1,0,,,4,2,1,4,4,0,1,1,1,32,15,,Late September,Late January,Late September (before MSPE release),0vember,1
210-214,235-239,0,3,3,1,1,,0,11,11,2,7,6,0,1,1,1,31,15,FL,Mid September,Mid September,Early October,January,1
210-214,235-239,1,1,4,1,0,,0,1,1,1,9,3,0,1,1,1,33,11,,Mid September,Early October,Promptly after Oct 1 (MSPE release),0vember,1
210-214,240-244,0,3,2,N/A,0,,0,1,0,0,6,3,0,1,1,1,19,5,,Late September,Early October,Promptly after Oct 1 (MSPE release),October,1
210-214,240-244,0,N/A,0,0,0,Other,0,3,1,1,11,5,0,1,1,1,43,13,AZ,Mid September,Mid September,Late September (before MSPE release),0vember,1
210-214,240-244,0,4,1,1,0,,0,4,0,1,7,3,0,1,1,1,24,9,TX,Mid September,Mid October,Mid October,N/A,0
210-214,240-244,0,4,6,1,1,,0,2,9,0,3,2,0,1,1,1,129,14,KY,Mid September,Early October,Early October,December,1
210-214,245-249,0,N/A,1,1,0,,0,1,0,0,5,3,0,1,1,1,19,8,MI,Mid September,Mid October,Promptly after Oct 1 (MSPE release),0vember,1
210-214,245-249,0,N/A,3,1,0,,1,3,3,1,6,3,0,1,1,1,26,7,KY,Mid September,Late September,Early October,0vember,1
210-214,250-254,0,4,3,1,0,MPH,0,11,11,1,11,11,0,1,1,1,58,18,LA,Mid September,Late December,Late October,0vember,1
210-214,255-259,0,N/A,2,0,0,,0,3,2,0,3,3,0,2,1,1,47,9,OH,Mid September,Mid September,Mid October,0vember,1
215-219,210-214,0,N/A,2,1,0,,0,0,0,0,2,2,0,1,1,1,33,8,TX,Mid September,Early December,Early October,0vember,1
215-219,215-219,0,4,0,0,0,MSc,0,1,0,1,3,1,1,1,1,1,10,8,TX,Late December,Late January,Promptly after Oct 1 (MSPE release),0vember,1
215-219,215-219,0,2,2,0,1,,0,1,2,1,11,8,0,1,1,2,12,7,LA,Mid September,Mid September,Mid October,N/A,1
215-219,215-219,0,N/A,1,1,0,MEd,0,2,0,0,11,3,0,1,1,1,24,12,TX,Early October,Mid October,Mid October,0vember,1
215-219,215-219,0,N/A,1,1,1,,1,3,2,0,6,5,0,1,1,1,11,14,NY,Mid October,Early January,Late October,0vember,1
215-219,220-224,0,3,0,0,0,,0,1,0,1,7,4,1,2,1,1,55,3,TX,Early December,Late January,Early October,0vember,1
215-219,220-224,0,N/A,0,0,0,,0,0,0,0,2,2,0,1,1,1,32,7,TX,Early 0vember,Late December,Late October,0vember,1
215-219,220-224,0,N/A,1,0,0,,0,3,3,1,4,2,0,1,1,1,97,9,,Mid September,Late January,Mid 0vember,January,0
215-219,220-224,0,3,2,0,0,MSc,0,4,1,3,2,0,0,1,1,1,12,14,,Mid September,Early December,Late September (before MSPE release),0vember,0
215-219,220-224,0,3,1,1,0,,0,0,2,0,2,2,0,1,1,1,7,3,VA,Mid September,Mid September,Early October,December,1
215-219,220-224,0,4,2,1,0,,0,1,1,1,10,11,1,1,1,1,33,8,NY,Mid September,Mid September,Late 0vember,December,0
215-219,220-224,0,N/A,4,1,0,,0,2,3,1,4,2,0,1,1,1,49,16,,Mid September,Mid September,Late September (before MSPE release),December,1
215-219,225-229,0,N/A,2,,1,,,6,11,,,,0,1,,,17,13,TX,Mid September,Mid September,Late September (before MSPE release),N/A,1
215-219,225-229,0,3,0,N/A,0,,0,2,0,0,6,0,0,1,1,1,21,9,KY,Mid September,Early 0vember,Early October,0vember,1
215-219,225-229,0,4,0,0,0,,0,2,2,0,9,4,0,1,1,1,13,10,MI,Mid September,Mid September,Promptly after Oct 1 (MSPE release),December,1
215-219,225-229,0,4,0,0,0,,0,2,2,0,9,4,0,1,1,1,13,10,MI,Mid September,Mid September,Promptly after Oct 1 (MSPE release),December,1
215-219,225-229,0,N/A,0,0,0,,0,3,5,2,6,11,0,1,1,1,25,13,TX,Mid September,Early January,Promptly after Oct 1 (MSPE release),0vember,1
215-219,225-229,0,3,1,0,0,MSc,0,3,5,2,2,1,0,1,1,1,31,12,TX,Mid September,Mid September,Early October,0vember,1
215-219,225-229,0,3,1,0,1,,0,4,2,1,8,8,0,1,1,1,12,9,,Mid September,Early October,Mid October,December,1
215-219,225-229,0,N/A,2,0,0,,0,3,2,2,7,2,0,1,1,1,68,10,DC,Mid September,Late January,Early October,December,1
215-219,225-229,0,N/A,0,1,0,MBA,0,6,3,6,1,3,0,1,1,1,16,8,TN,Mid September,Mid September,Early October,0vember,1
215-219,225-229,0,3,1,1,0,,0,3,2,1,9,,0,1,1,1,7,9,IL,Early December,Early December,Late September (before MSPE release),December,0
215-219,225-229,0,3,1,1,0,,0,5,4,3,11,5,1,1,1,1,52,10,KY,Mid October,Late January,Promptly after Oct 1 (MSPE release),0vember,0
215-219,225-229,0,3,2,1,0,Other,0,2,11,2,6,3,0,2,1,1,45,10,TX,Mid September,Mid September,Early October,December,1
215-219,225-229,0,4,3,1,1,,,1,2,1,6,6,1,1,1,1,22,12,TX,Mid September,Late September,Early October,0vember,1
