Step 1,Step 2 CK,AOA,Cumulative Quartile,# Ho0red Clerkships,Ho0rs-A This Specialty,GHHS,Other Degrees,Research Year,# Research Experiences,"# Abstracts, Pres, Posters",# Peer-Rev Publications,# Volunteer Experiences,# Leadership Positions,Required to Remediate,Pass Attempt - Step 1,Pass Attempt - Step 2 CK,Pass Attempt - Step 2 CS,# Programs Applied,# Interviews Attended,Home State,Release - Step 2 CK,Release - Step 2 CS,Majority of Interview Offers,Majority of Interviews Attended,Matched
230-234,245-249,1,N/A,6,1,0,Other,1,4,4,3,3,1,0,1,1,1,25,12,MN,Mid September,Mid September,Early October,December,1
230-234,250-254,0,N/A,0,0,0,,0,5,5,2,3,1,0,1,1,1,76,18,TX,Mid October,Early December,Early October,December,1
230-234,250-254,0,3,2,0,0,MSc,0,1,2,1,11,4,0,1,1,1,17,6,LA,Mid September,Mid September,Early October,January,1
230-234,250-254,0,2,3,0,0,,0,4,4,11,6,3,0,1,1,1,31,14,NE,Mid September,Early December,Promptly after Oct 1 (MSPE release),0vember,1
230-234,250-254,0,N/A,1,1,0,,0,3,2,0,6,4,0,1,1,1,24,11,NE,Mid September,Early 0vember,Mid October,0vember,1
230-234,250-254,0,N/A,2,1,1,,0,3,3,0,4,5,0,1,1,1,9,0,DC,Mid September,Mid September,Mid October,N/A,1
230-234,250-254,0,N/A,3,1,0,MPH,0,6,6,6,4,4,0,1,1,1,29,18,NY,Mid September,Early October,Early October,December,1
230-234,250-254,0,1,5,1,0,,0,2,1,0,8,3,0,1,1,1,31,13,DC,Late September,Mid September,Early October,0vember,1
230-234,250-254,0,2,5,1,1,,0,4,2,2,11,11,0,1,1,1,35,16,NY,Mid September,Early October,Late October,December,1
230-234,250-254,1,N/A,8,1,1,,0,6,3,1,4,1,0,1,1,1,36,12,,Mid September,Mid September,Early 0vember,0vember,1
230-234,255-259,0,2,3,1,0,PhD,1,2,11,3,1,0,0,1,1,1,43,16,TX,Mid September,Late 0vember,Mid October,0vember,1
230-234,255-259,0,2,3,1,1,,0,4,4,0,11,11,,1,1,1,30,13,OH,Mid September,Early 0vember,Early October,0vember,1
230-234,255-259,0,N/A,5,1,0,Other,0,4,4,3,6,2,0,1,1,1,23,11,MN,Late September,Mid January,Early October,December,1
230-234,255-259,0,2,6,1,0,,0,3,3,0,7,4,0,1,1,1,33,15,TX,Late October,Mid 0vember,Early October,0vember,0
230-234,255-259,1,1,7,1,0,,0,5,9,1,5,6,0,1,1,1,25,13,TX,Mid September,Mid September,Late September (before MSPE release),January,1
230-234,255-259,0,N/A,8,1,1,,0,2,7,0,11,5,0,1,1,1,27,12,MN,Mid September,Late January,Promptly after Oct 1 (MSPE release),0vember,1
230-234,255-259,0 School Chapter,N/A,8,1,0,,0,3,2,1,6,5,0,1,1,1,23,10,NY,Mid September,Mid September,Promptly after Oct 1 (MSPE release),0vember,1
230-234,260-264,0,2,1,0,0,,0,3,2,1,4,0,0,1,1,1,35,15,TX,Mid September,Late October,Late September (before MSPE release),0vember,1
230-234,260-264,0,2,2,1,0,,0,2,0,0,8,2,0,1,1,1,34,13,NY,Mid September,Mid December,Late September (before MSPE release),0vember,1
230-234,260-264,1,1,5,1,0,PhD,1,6,11,9,5,4,0,1,1,1,24,15,MI,Mid September,Mid January,Late September (before MSPE release),December,1
